,为生产其他服务业部门单位最终产品，对其他制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对其他服务业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对农、林、牧、渔业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对化学工业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对建筑业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对房地产业、租赁和商务服务业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对批发零售贸易、住宿和餐饮业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对机械设备制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对炼焦、燃气及石油加工业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对电力、热力及水的生产和供应业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对纺织、服装及皮革产品制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对运输仓储邮政、信息传输、计算机服务和软件业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对采矿业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对金属产品制造业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对金融业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对非金属矿物制品业部门中间产品的完全消耗量,为生产其他服务业部门单位最终产品，对食品、饮料制造及烟草制品业部门中间产品的完全消耗量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
